833,1,0,1,1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0
834,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1.0
835,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,1.0
836,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,1,-1,1.0
837,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,1.0
839,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
840,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1.0
841,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
842,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
843,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
845,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1.0
847,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
848,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
849,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
850,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
851,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
853,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
854,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1.0
855,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1.0
856,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1.0
857,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1.0
858,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0
859,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0
860,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1.0
861,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1.0
862,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1.0
863,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1.0
864,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,1.0
865,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,1.0
866,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1,1.0
867,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,1.0
868,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,1,1,1.0
869,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,1,1.0
870,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1.0
871,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1.0
872,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.0
873,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
874,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,1.0
875,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1.0
876,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1.0
877,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1.0
878,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1.0
879,-1,0,1,0,1,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1.0
880,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
881,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1.0
882,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
883,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
884,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
885,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
886,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
888,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
889,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
890,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1.0
892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
893,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0
895,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
896,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
897,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
898,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
899,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
900,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1.0
906,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
907,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
909,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
910,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
911,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
913,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
914,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
915,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
917,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1.0
918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1.0
919,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
921,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
922,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
923,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,1.0
924,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
925,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,1.0
926,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
927,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
928,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
929,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1.0
930,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
931,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,-1,0,-1,-1,-1,-1,-1,1.0
932,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
933,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1.0
935,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
936,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
937,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1.0
938,-1,0,1,0,1,0,-1,-1,1,1,-1,1,0,-1,-1,1,0,0,1,0,1.0
939,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1.0
940,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1.0
941,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,0,-1,1,1.0
942,0,-1,-1,-1,1,-1,-1,-1,-1,1,0,0,-1,-1,0,0,-1,0,0,1,1.0
943,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,1,1.0
944,-1,0,1,0,1,0,1,-1,0,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1.0
945,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1.0
946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
947,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1.0
948,-1,0,1,0,1,0,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1.0
949,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,0,1,-1,1.0
951,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1.0
952,-1,-1,-1,1,1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1.0
953,-1,-1,0,-1,1,-1,1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,1,1.0
954,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1.0
955,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,1.0
956,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,1.0
957,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,1.0
958,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1.0
959,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1.0
960,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1.0
962,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
963,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
964,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
965,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
966,1,0,1,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
967,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,-1,-1,-1,1,-1,1,-1,0,1.0
968,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
969,-1,0,-1,0,-1,0,0,1,-1,1,-1,0,1,-1,-1,-1,-1,0,1,0,1.0
970,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,1.0
971,1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
972,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,1.0
973,-1,0,1,0,1,0,0,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,0,1.0
974,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,1.0
975,-1,0,1,0,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
976,-1,0,1,0,-1,0,0,-1,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,1.0
977,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
979,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,-1,1,-1,-1,0,1.0
980,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
981,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
982,1,0,1,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,1.0
983,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,0,1.0
984,-1,0,1,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,-1,1,-1,1,0,1.0
985,-1,0,-1,0,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
986,1,0,1,0,-1,0,0,-1,1,-1,-1,0,1,-1,-1,-1,-1,1,-1,0,1.0
987,-1,0,0,0,-1,0,0,-1,-1,1,-1,0,-1,-1,-1,1,-1,-1,-1,0,1.0
990,-1,0,1,0,-1,0,0,-1,1,1,-1,0,-1,1,-1,1,-1,-1,-1,0,1.0
991,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,1.0
992,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
994,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,1.0
996,-1,0,1,0,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
997,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,-1,-1,-1,-1,1,1,-1,0,1.0
998,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
999,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,1.0
1000,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,0,1.0
1001,-1,0,0,0,1,0,0,-1,-1,-1,-1,0,1,-1,1,-1,-1,-1,1,0,1.0
1002,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,1.0
1003,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1004,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1005,1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,1.0
1006,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,1.0
1007,-1,0,-1,0,-1,0,0,-1,-1,1,1,0,1,-1,-1,-1,-1,-1,-1,0,1.0
1008,1,0,-1,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,-1,1,0,-1,0,1.0
1009,-1,0,-1,0,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1010,1,0,-1,0,-1,0,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1011,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,-1,-1,1,-1,0,1.0
1012,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1013,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1015,-1,0,-1,0,1,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,1,0,1.0
1016,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1017,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,1.0
1018,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1019,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,1.0
1020,-1,0,1,0,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,1.0
1021,-1,0,-1,0,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1022,1,0,-1,0,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1023,-1,0,1,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,1.0
1024,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,1,0,1.0
1025,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,1.0
1026,-1,0,1,0,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1027,-1,0,1,0,-1,0,0,-1,-1,1,1,0,1,-1,-1,-1,-1,1,0,0,1.0
1028,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1029,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1030,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,1.0
1031,-1,0,0,0,1,0,0,-1,1,1,-1,0,-1,-1,-1,-1,-1,1,-1,0,1.0
1032,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1033,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1034,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1036,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1,0,1.0
1038,-1,0,-1,0,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,1.0
1040,-1,0,-1,0,-1,0,0,1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1041,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,1,-1,0,1.0
1043,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1044,-1,0,1,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,1,1,-1,-1,0,1.0
1046,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1047,-1,0,1,0,-1,0,0,-1,-1,1,-1,0,-1,-1,-1,1,1,1,1,0,1.0
1048,-1,0,1,0,-1,0,0,-1,-1,1,-1,0,-1,1,-1,-1,-1,1,-1,0,1.0
1049,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,1.0
1050,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1052,1,0,-1,0,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1053,-1,0,-1,0,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1054,-1,0,1,0,-1,0,0,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1055,-1,0,1,0,-1,0,0,1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,1,0,1.0
1057,-1,0,1,0,1,0,0,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1058,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1060,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1061,-1,0,1,0,1,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,1.0
1063,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1064,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,1,-1,-1,1,0,1.0
1065,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,1.0
1066,1,0,1,0,-1,0,0,1,-1,1,-1,0,-1,-1,-1,1,-1,-1,-1,0,1.0
1067,-1,0,-1,0,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,1.0
1068,1,0,1,0,-1,0,0,-1,1,-1,-1,0,1,1,-1,1,-1,-1,-1,0,1.0
1069,-1,0,-1,0,-1,0,0,-1,1,1,-1,0,1,-1,-1,-1,1,-1,-1,0,1.0
1070,-1,0,1,0,1,0,0,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,0,1.0
1071,-1,0,1,0,1,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,0,1.0
1072,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,1.0
1074,-1,0,1,0,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1075,-1,0,-1,0,-1,0,0,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,-1,0,1.0
1076,-1,0,-1,0,-1,0,0,1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,1.0
1078,-1,0,1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,1.0
1079,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.0
1080,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,1,-1,0,1,0,1.0
1081,-1,0,1,0,1,0,0,-1,-1,-1,-1,0,1,-1,1,1,1,1,-1,0,1.0
